Project,Area,Zone,Type,Bed,Bath,Size (sqft),Tenure,Price (RM),Installment (RM/mo),Rental Unfurnished,CF Unfurnished,Rental Partial,CF Partial,Rental Fully,CF Fully,Yield% Partial,Yield% Fully,CF Rating (Best Case),Cash Out (RM),Break-even Unfurnished (Year),Break-even Partial (Year),Break-even Fully (Year),5yr ROI%,10yr ROI%,20yr ROI%,Ann.Ret% 5yr,Ann.Ret% 10yr,Ann.Ret% 20yr,Exit Value 10yr (RM),Equity 10yr (RM),Equity Gain 10yr (RM),Cumulative CF Unfurnished 10yr (RM),Cumulative CF Partial 10yr (RM),Cumulative CF Fully 10yr (RM),Selling Cost 10yr (RM),Equity Gain 10yr Net of Selling Cost (RM),Rental Source,Date Added,Code,Source Link
Blok Dahlia,Rawang,Taman Tun Teja,Apartment,3,1.0,650,Leasehold,145000,661,1000,339,1150,489,1650,989,9.52,13.66,🟢 Strong,33850,5,4,3,21.5,113.3,347.8,4.3,11.3,17.4,176754,72204,38354,40680,58680,118680,8904,29450,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide",12/7/2026,LNS,https://telegram.me/ListingNikkSyafiq/174
Shop Apartment Taman Keramat Permai,Kuala Lumpur,Setiawangsa,Shop Apartment,3,1.0,650,Leasehold,190000,866,1200,334,1300,434,1950,1084,8.21,12.32,🟢 Strong,39700,5,5,3,35.7,138.3,400.2,7.1,13.8,20.0,231609,94591,54891,40080,52080,130080,10736,44155,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/4801
Sri Bayu Apartment,Klang,Pulau Indah,Apartment,3,2.0,900,Leasehold,235000,1072,1050,-22,1200,128,2300,1228,6.13,11.74,🟢 Strong,45550,10,7,3,46.4,157.1,439.9,9.3,15.7,22.0,286464,117129,71579,-2640,15360,147360,12568,59011,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.34/sqft, n=6) | Klang | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1400.0->1050 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10859
2 Storey Terrace Bandar Tasik Puteri Blok 3,Rawang,Bandar Tasik Puteri,2 Storey Terrace,4,3.0,1450,Leasehold,290000,1322,1650,328,1900,578,2050,728,7.86,8.48,🟢 Strong,52700,4,4,3,102.0,279.5,752.5,20.4,27.9,37.6,409074,199972,147272,39360,69360,87360,16663,130609,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",21/6/2026,MMN,https://telegram.me/HaniMNListingSubsale/597
Apartment Sri Selayang,Selayang,Sri Selayang,Apartment,3,2.0,900,Leasehold,290000,1322,1650,328,2150,828,2600,1278,8.9,10.76,🟢 Strong,52700,6,4,3,56.0,174.0,475.2,11.2,17.4,23.8,353508,144407,91707,39360,99360,153360,14807,76900,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.86/sqft, n=3) | Selayang | [Partial] Area PSF Avg, Strata all sizes (RM2.40/sqft, n=4) | Selayang | [Fully] Area PSF Avg, Strata all sizes (RM1.95/sqft, n=5) | Selayang | CORRECTED (audit 19/07/2026): Fully 1750.0->2600 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/7959
Desa Tasik Apartment Phase 1A,Kuala Lumpur,Sungai Besi,Apartment,3,2.0,893,Leasehold,290000,1322,1650,328,1800,478,2100,778,7.45,8.69,🟢 Strong,52700,6,5,4,56.0,174.0,475.2,11.2,17.4,23.8,353508,144407,91707,39360,57360,93360,14807,76900,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Zone PSF Avg, Strata all sizes (RM2.38/sqft, n=3) | Sungai Besi",10/4/2026,EXP,https://telegram.me/extremeproperty_listing/16368
Sri Mutiara Apartment,Kuala Lumpur,Pudu,Apartment,2,2.0,815,Freehold,260000,1186,1500,314,1650,464,2800,1614,7.62,12.92,🟢 Strong,48800,6,5,2,51.2,165.5,457.5,10.2,16.6,22.9,316939,129583,80783,37680,55680,193680,13586,67197,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Zone PSF Avg, Strata all sizes (RM3.45/sqft, n=3) | Pudu",28/6/2026,EXP,https://telegram.me/extremeproperty_listing/19233
Pelangi Damansara,Petaling Jaya / Damansara,Damansara,Apartment,3,2.0,656,Leasehold,240000,1094,1400,306,1600,506,1750,656,8,8.75,🟢 Strong,46200,6,5,4,47.3,158.7,443.0,9.5,15.9,22.1,292559,119499,73299,36720,60720,78720,12771,60528,[Unfurnished] Exact - 1 listing(s) | Pelangi Damansara | [Partial] Est. from Unfurnished; [Fully] Est. from Unfurnished,20/4/2026,MMN,https://telegram.me/HaniMNListingSubsale/498
Langat Jaya Condominium,Cheras,Cheras Selatan,Condominium,3,2.0,936,Freehold,285000,1300,1600,300,1900,600,2450,1150,8,10.32,🟢 Strong,52050,6,4,3,55.4,172.9,473.0,11.1,17.3,23.6,347413,142037,89987,36000,72000,138000,14604,75383,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Area PSF Avg, Strata all sizes (RM2.05/sqft, n=15) | Cheras | [Fully] Area PSF Avg, Strata all sizes (RM2.64/sqft, n=23) | Cheras",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/493
Persanda 3 Apartment,Shah Alam,Seksyen 13,Apartment,3,2.0,928,Leasehold,310000,1414,1400,-14,1600,186,1700,286,6.19,6.58,🟡 Neutral,55300,9,7,6,59.1,179.4,486.6,11.8,17.9,24.3,377888,154491,99191,-1680,22320,34320,15621,83570,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=21) | Shah Alam | [Fully] Web - 1 listing(s), same-project match (RM1700/mo, 928sqft) | Cari.la (vs Area PSF est. RM2450 - flagged, material gap) | CORRECTED (audit 19/07/2026): Unfurnished 1700.0->1400 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",2/4/2026,MMN,https://telegram.me/HaniMNListingSubsale/449
The Wharf Puchong Lake View,Puchong,Puchong Lake View,Condominium,3,2.0,1176,Leasehold,355000,1619,1500,-119,1750,131,2600,981,5.92,8.79,🟢 Strong,61150,10,7,4,64.7,189.3,507.3,12.9,18.9,25.4,432743,176879,115729,-14280,15720,117720,17454,98275,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.61/sqft, n=3) | Puchong | [Partial] Area PSF Avg, Strata all sizes (RM1.48/sqft, n=15) | Puchong | [Fully] Area PSF Avg, Strata all sizes (RM2.22/sqft, n=12) | Puchong | CORRECTED (audit 19/07/2026): Unfurnished 1900.0->1500 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/595
Pangsapuri Kos Rendah Bandar Tasik Selatan,Cheras,Bandar Tasik Selatan,Apartment,3,2.0,655,Leasehold,180000,821,1100,279,1200,379,1750,929,8,11.67,🟢 Strong,38400,6,5,3,33.0,133.6,390.5,6.6,13.4,19.5,219419,89700,51300,33480,45480,111480,10329,40971,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Zone PSF Avg, Strata all sizes (RM1.80/sqft, n=3) | Bandar Tasik Selatan | [Fully] Area PSF Avg, Strata all sizes (RM2.64/sqft, n=23) | Cheras",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/9310
Pangsapuri Indah Mas,Cheras,Taman Ikan Emas,Apartment,3,1.0,780,Leasehold,235000,1072,1350,278,1600,528,2050,978,8.17,10.47,🟢 Strong,45550,6,5,3,46.4,157.1,439.9,9.3,15.7,22.0,286464,117129,71579,33360,63360,117360,12568,59011,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Area PSF Avg, Strata all sizes (RM2.05/sqft, n=15) | Cheras | [Fully] Area PSF Avg, Strata all sizes (RM2.64/sqft, n=23) | Cheras",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13870
Dahlia Apartment @ Seremban 2,Nilai,Seremban 2,Apartment,3,2.0,642,Freehold,160000,730,1000,270,1150,420,1400,670,8.62,10.5,🟢 Strong,35800,6,5,4,26.8,122.8,367.9,5.4,12.3,18.4,195039,79767,43967,32400,50400,80400,9514,34453,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Area PSF Avg, Strata all sizes (RM1.33/sqft, n=5) | Nilai | CORRECTED (audit 19/07/2026): Fully 850.0->1400 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",25/5/2026,EXP,https://telegram.me/extremeproperty_listing/17923
City Height Apartment,Kajang,Kajang,Apartment,3,2.0,833,Freehold,230000,1049,1000,-49,1150,101,1400,351,6,7.3,🟢 Strong,44900,11,8,5,45.3,155.3,435.9,9.1,15.5,21.8,280369,114608,69708,-5880,12120,42120,12364,57344,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Area PSF Avg, Strata all sizes (RM1.40/sqft, n=21) | Kajang | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Unfurnished 1300.0->1000 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/541
Flat PKNS,Shah Alam,Seksyen 17,Flat,2,1.0,592,Leasehold,187000,853,850,-3,1000,147,1600,747,6.42,10.27,🟢 Strong,39310,10,7,4,35.0,137.1,397.8,7.0,13.7,19.9,227952,93199,53889,-360,17640,89640,10614,43275,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=21) | Shah Alam | [Fully] Area PSF Avg, Strata all sizes (RM2.66/sqft, n=18) | Shah Alam | CORRECTED (audit 19/07/2026): Unfurnished 1100.0->850 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14478
Antara Apartment,Ampang,Taman Mulia Jaya,Apartment,3,2.0,921,Leasehold,210000,958,1200,242,1400,442,1700,742,8,9.71,🟢 Strong,42300,6,5,4,40.9,147.5,419.6,8.2,14.7,21.0,255989,104675,62375,29040,53040,89040,11550,50825,[Partial] Exact - 1 listing(s) | Antara Apartment | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,30/6/2026,EXP,https://telegram.me/extremeproperty_listing/19281
Shop Apartment Bandar Baru Ampang,Ampang,Bandar Baru Ampang,Shop Apartment,3,1.0,732,Leasehold,200000,912,1150,238,1700,788,2450,1538,10.2,14.7,🟢 Strong,41000,6,4,2,38.4,143.0,410.2,7.7,14.3,20.5,243799,99633,58633,28560,94560,184560,11143,47490,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/9891
Pangsapuri Sri Indah,Seri Kembangan,Persiaran Lestari Perdana,Flat,3,1.0,650,Leasehold,170000,775,650,-125,750,-25,1850,1075,5.29,13.06,🟢 Strong,37100,16,11,3,29.9,128.2,379.0,6.0,12.8,19.0,207229,84658,47558,-15000,-3000,129000,9921,37637,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.17/sqft, n=4) | Seri Kembangan | [Fully] Area PSF Avg, Strata all sizes (RM2.85/sqft, n=10) | Seri Kembangan | CORRECTED (audit 19/07/2026): Unfurnished 1000.0->650 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",3/7/2026,DPM,https://telegram.me/DeePropmall/2491
Residensi PR1MA Alam Damai,Cheras,Alam Damai,Apartment,3,2.0,995,Leasehold,325000,1482,1700,218,2050,568,2600,1118,7.57,9.6,🟢 Strong,57250,7,5,3,61.0,182.8,493.7,12.2,18.3,24.7,396173,161903,104653,26160,68160,134160,16232,88421,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Area PSF Avg, Strata all sizes (RM2.05/sqft, n=15) | Cheras | [Fully] Area PSF Avg, Strata all sizes (RM2.64/sqft, n=23) | Cheras",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10799
Aman Dua Apartment,Kuala Lumpur,Desa Aman Puri,Apartment,3,2.0,837,Freehold,300000,1368,1550,182,1650,282,2500,1132,6.6,10,🟢 Strong,54000,7,6,3,57.6,176.8,481.0,11.5,17.7,24.1,365698,149449,95449,21840,33840,135840,15214,80235,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",10/4/2026,EXP,https://telegram.me/extremeproperty_listing/16318
Saujana Puchong,Puchong,Saujana Puchong,Landed,7,5.0,3350,Leasehold,750000,3420,3600,180,4200,780,4700,1280,6.72,7.52,🟢 Strong,115000,4,4,3,139.5,349.8,910.7,27.9,35.0,45.5,1057949,517326,402326,21600,93600,153600,38335,363991,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",10/7/2026,EXP,https://telegram.me/extremeproperty_listing/19591
Flat Taman Nirwana,Ampang,Taman Nirwana,Flat,2,1.0,600,Leasehold,170000,775,950,175,1400,625,2000,1225,9.88,14.12,🟢 Strong,37100,7,4,3,29.9,128.2,379.0,6.0,12.8,19.0,207229,84658,47558,21000,75000,147000,9921,37637,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11700
Puteri Court Condominium,Ampang,Jalan Taman Putera,Condominium,4,2.0,1200,Leasehold,380000,1733,1900,167,2850,1117,4000,2267,9,12.63,🟢 Strong,64400,7,4,2,67.4,194.0,517.3,13.5,19.4,25.9,463218,189333,124933,20040,134040,272040,18471,106462,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13624
Suria Jaya e-SOFO,Shah Alam,Seksyen 16 / Padang Jawa,Condominium,1,2.0,430,Leasehold,195000,889,1050,161,1200,311,1450,561,7.38,8.92,🟢 Strong,40350,7,6,4,37.0,140.7,405.2,7.4,14.1,20.3,237704,97112,56762,19320,37320,67320,10939,45823,[Partial] Exact - 1 listing(s) | Suria Jaya e-Sofo | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,2/5/2025,EXP,https://telegram.me/extremeproperty_listing/13535
Makmur Apartment,Subang Jaya,Bandar Sunway,Apartment,3,2.0,839,Leasehold,250000,1140,1300,160,1500,360,2800,1660,7.2,13.44,🟢 Strong,47500,7,5,2,49.3,162.2,450.5,9.9,16.2,22.5,304749,124541,77041,19200,43200,199200,13179,63862,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=3) | Subang Jaya",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/765
Pangsapuri Sentosa 5,Shah Alam,Setia Alam (Seksyen U13),Apartment (Low Cost),3,2.0,650,Freehold,230000,1049,950,-99,1100,51,1750,701,5.74,9.13,🟢 Strong,44900,12,9,4,45.3,155.3,435.9,9.1,15.5,21.8,280369,114608,69708,-11880,6120,84120,12364,57344,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=21) | Shah Alam | [Fully] Area PSF Avg, Strata all sizes (RM2.66/sqft, n=18) | Shah Alam | CORRECTED (audit 19/07/2026): Unfurnished 1200.0->950 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",17/5/2026,FRH,https://telegram.me/FirdausRahimHartanahListing/1818
Vila Tropika Apartment Pudu Impian 2,Cheras,Taman Pudu Ulu,Condominium,3,2.0,936,Leasehold,318000,1450,1600,150,1900,450,2450,1000,7.17,9.25,🟢 Strong,56340,7,5,4,60.1,181.2,490.3,12.0,18.1,24.5,387640,158404,102064,18000,54000,120000,15947,86117,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Area PSF Avg, Strata all sizes (RM2.05/sqft, n=15) | Cheras | [Fully] Area PSF Avg, Strata all sizes (RM2.64/sqft, n=23) | Cheras",17/6/2026,EXP,https://telegram.me/extremeproperty_listing/18727
D'Puncak Suasana Apartment,Cheras,Bandar Tun Hussein Onn,Apartment,3,2.0,1000,Freehold,340000,1550,1700,150,2050,500,2650,1100,7.24,9.35,🟢 Strong,59200,7,5,3,62.9,186.0,500.4,12.6,18.6,25.0,414458,169315,110115,18000,60000,132000,16843,93272,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Area PSF Avg, Strata all sizes (RM2.05/sqft, n=15) | Cheras | [Fully] Area PSF Avg, Strata all sizes (RM2.64/sqft, n=23) | Cheras",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/4244
Nilam Puri Condominium,Puchong,Bandar Bukit Puchong,Condominium,3,2.0,1173,Freehold,385000,1756,1500,-256,1750,-6,2600,844,5.45,8.1,🟢 Strong,65050,12,8,4,67.9,194.9,519.2,13.6,19.5,26.0,469313,191854,126804,-30720,-720,101280,18675,108129,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.61/sqft, n=3) | Puchong | [Partial] Area PSF Avg, Strata all sizes (RM1.48/sqft, n=15) | Puchong | [Fully] Area PSF Avg, Strata all sizes (RM2.22/sqft, n=12) | Puchong | CORRECTED (audit 19/07/2026): Unfurnished 1900.0->1500 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",13/5/2026,DPM,https://telegram.me/DeePropmall/1984
Residensi Idaman Abadi,Kajang,Kajang 2,Apartment,3,3.0,1022,Freehold,320000,1459,1600,141,1800,341,2150,691,6.75,8.06,🟢 Strong,56600,7,6,4,60.3,181.6,491.2,12.1,18.2,24.6,390078,159382,102782,16920,40920,82920,16029,86753,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Zone PSF Avg, Strata all sizes (RM1.75/sqft, n=6) | Kajang 2 | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Fully 1750.0->2150 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14860
Widuri Impian Condominium,Kuala Lumpur,Desa Petaling,Condominium,3,2.0,956,Leasehold,355000,1619,1750,131,1900,281,2850,1231,6.42,9.63,🟢 Strong,61150,7,6,3,64.7,189.3,507.3,12.9,18.9,25.4,432743,176879,115729,15720,33720,147720,17454,98275,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13937
Single Storey Terrace Felicia,Klang,Bandar Putera 2,Terrace,3,2.0,1400,Leasehold,400000,1824,1600,-224,1850,26,1950,126,5.55,5.85,🟡 Neutral,67000,6,5,5,119.3,311.8,825.2,23.9,31.2,41.3,564240,275907,208907,-26880,3120,15120,21846,187061,"[Unfurnished] Area PSF Avg, Landed all sizes (RM1.38/sqft, n=4) | Klang | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1950.0->1600 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/9946
Harmoni Eco Majestic,Kajang,Eco Majestic,Apartment,3,2.0,900,Freehold,280000,1277,1100,-177,1250,-27,1500,223,5.36,6.43,🟡 Neutral,51400,13,9,7,54.5,171.4,469.9,10.9,17.1,23.5,341318,139516,88116,-21240,-3240,26760,14400,73716,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Area PSF Avg, Strata all sizes (RM1.40/sqft, n=21) | Kajang | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Unfurnished 1400.0->1100 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/241
Kelisa Ria Apartment,Kajang,Kampung Sungai Tangkas,Apartment,4,2.0,650,Leasehold,195000,889,800,-89,900,11,1100,211,5.54,6.77,🟡 Neutral,40350,13,10,7,37.0,140.7,405.2,7.4,14.1,20.3,237704,97112,56762,-10680,1320,25320,10939,45823,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Area PSF Avg, Strata all sizes (RM1.40/sqft, n=21) | Kajang | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Unfurnished 1000.0->800 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",25/5/2026,EXP,https://telegram.me/extremeproperty_listing/17876
Bintang Mas Condominium,Cheras,Cheras,Condominium,4,2.0,1307,Leasehold,470000,2143,2250,107,2700,557,4200,2057,6.89,10.72,🟢 Strong,76100,7,5,3,75.2,207.6,545.8,15.0,20.8,27.3,572927,234107,158007,12840,66840,246840,22136,135871,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Area PSF Avg, Strata all sizes (RM2.05/sqft, n=15) | Cheras | [Fully] Zone PSF Avg, Strata all sizes (RM3.19/sqft, n=7) | Cheras",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/12797
Pangsapuri Andika,Kuala Lumpur,Taman Setiawangsa,Flat,3,2.0,657,Leasehold (Bumi Lot),240000,1094,1200,106,1300,206,1950,856,6.5,9.75,🟢 Strong,46200,8,7,4,47.3,158.7,443.0,9.5,15.9,22.1,292559,119499,73299,12720,24720,102720,12771,60528,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18280
